State,Delta,Theta,Alpha,Beta,Gamma
Baseline,14641.90,22942.14,7804.63,18612.36,305427.96
Baseline,5506.51,5849.60,4971.49,8530.92,288729.27
Baseline,12758.21,8207.35,2282.98,8013.91,294149.49
Baseline,6723.89,7059.62,3844.15,11593.60,267463.66
Baseline,2096.90,8502.46,2736.63,11462.47,283020.20
Baseline,8169.54,4103.16,5372.38,8109.69,274820.32
Baseline,5871.32,7697.75,4020.63,11893.63,282899.90
Baseline,3100.42,9254.05,3847.35,14204.04,280397.20
Baseline,5058.42,4347.18,5281.78,15578.33,278346.15
Baseline,5449.86,6707.77,7537.31,10400.91,261684.41
Baseline,4002.66,3471.01,3663.17,12908.51,268139.22
Baseline,1702.42,4252.36,4319.78,8599.97,270633.54
Baseline,1596.16,3404.56,4461.54,9435.62,267257.55
Baseline,2759.17,4306.30,4568.12,12369.79,273346.17
Baseline,5040.25,9325.20,4811.93,11170.81,272599.28
Baseline,1062.73,3062.09,2627.79,10925.93,276695.14
Baseline,3750.07,5159.86,4673.14,10465.65,274627.20
Baseline,1506.03,4103.33,3847.85,9222.92,285936.42
Baseline,5059.15,4280.98,5284.27,11552.86,279278.56
Baseline,1159.83,3512.41,3266.83,8995.41,288530.36
Baseline,3245.14,8412.68,4355.73,14204.64,276374.96
Baseline,2058.62,6818.10,3863.30,10362.49,278751.51
Baseline,1813.31,4889.14,2582.14,9020.50,278382.31
Baseline,1982.98,8477.44,5132.61,10808.74,281174.65
Baseline,717.23,2291.98,4317.15,9061.35,279198.39
Baseline,2334.64,5712.19,3118.95,11208.74,276029.86
Baseline,4160.17,5493.79,4967.78,12608.95,278906.18
Baseline,3269.65,5686.00,6262.85,11358.55,273428.42
Baseline,2226.99,5542.50,6428.50,10127.89,276673.33
Baseline,3167.41,4938.98,5102.76,10122.61,273091.01
Baseline,2406.09,5221.48,4366.37,8255.00,279578.22
Baseline,1909.57,5195.23,4031.45,9505.97,283328.69
Baseline,2320.67,5100.30,5716.64,9485.87,277718.78
Baseline,2551.94,6900.56,3804.63,10181.38,275005.60
Baseline,2400.56,5274.32,3286.97,13401.30,281701.15
Baseline,1933.43,4678.29,4380.77,11112.33,275150.73
Baseline,2392.13,4562.57,5105.37,9574.15,276832.19
Baseline,1685.72,6094.04,3739.05,10265.94,275882.73
Baseline,4341.49,5120.65,3425.96,10982.15,272060.45
Baseline,3814.36,3851.24,5000.11,7588.35,274232.49
Baseline,2054.86,6833.15,2538.23,8955.75,279093.73
Baseline,2498.34,4428.51,7350.76,15586.20,282114.20
Baseline,3211.09,5066.21,2142.81,10134.67,266518.51
Baseline,3426.96,5788.02,4099.37,8052.26,266014.60
Baseline,1201.80,2413.82,2602.43,8958.18,277548.21
Baseline,2542.16,3495.98,4567.26,9428.98,272135.27
Baseline,1897.66,5382.24,5050.46,11760.44,277094.04
Baseline,3172.55,5522.61,3878.83,10343.92,274713.42
Baseline,569.10,4176.55,2118.64,14080.80,279753.19
Baseline,2275.18,4299.18,2173.57,9022.03,276602.82
Baseline,2298.09,5085.82,3817.01,11759.20,268706.75
Baseline,4144.25,5471.53,6247.74,14108.50,290038.46
Baseline,3259.55,4705.00,3594.19,8252.04,277599.60
Baseline,4036.43,4704.80,3666.84,8493.69,279656.35
Baseline,2801.73,6453.81,4975.89,9643.16,282114.65
Baseline,4780.84,3782.55,4086.84,10992.79,278782.82
Baseline,2198.59,7697.25,3906.69,6505.43,281844.46
Baseline,2925.49,3897.02,3590.98,10921.32,275598.74
Baseline,2137.93,6130.47,4709.79,10406.83,274390.11
Baseline,3062.29,4107.17,3081.63,11458.72,272105.68
Baseline,2738.40,7322.71,5090.88,9951.13,275048.60
Baseline,2687.91,4000.81,5776.18,8009.06,270806.17
Baseline,4075.77,8502.53,4958.34,11099.43,276177.82
Baseline,1478.29,5024.96,6519.28,12781.74,275967.27
Baseline,2250.88,5503.02,6344.95,13679.64,276449.35
Baseline,3479.96,9173.68,3883.02,11661.01,279193.85
Baseline,3421.06,4813.81,4206.51,8339.84,270577.30
Baseline,791.43,9295.45,3406.66,12010.50,278566.89
Baseline,3908.24,4275.24,4225.79,13810.20,277781.82
Baseline,1242.11,6121.57,5751.06,9785.30,286461.71
Baseline,2319.67,8290.39,3539.25,15068.29,277585.93
Baseline,1411.47,4064.82,4579.61,9515.19,267190.70
Baseline,3090.15,8122.38,2600.00,13510.62,285294.79
Baseline,1884.68,4131.83,5317.02,8293.77,276207.24
Baseline,2425.50,8288.69,6101.97,12055.79,283242.66
Baseline,2903.76,6839.14,4412.72,8700.05,281919.23
Baseline,2662.25,5460.13,3471.85,10247.17,276284.04
Baseline,894.85,7552.75,5848.19,14493.31,285312.17
Baseline,2593.67,7784.55,3623.81,9768.11,272355.97
Baseline,1559.49,9611.51,3123.62,10938.50,286593.70
Baseline,1234.95,8233.09,6282.94,10047.92,285418.54
Baseline,490.21,4291.72,4343.42,8098.14,281810.71
Baseline,5276.55,7898.62,3575.11,10399.52,279234.99
Baseline,1813.95,4099.15,5778.14,8318.89,282717.79
Baseline,1612.03,6198.91,2638.54,13516.43,284556.54
Baseline,1668.76,8974.64,3708.16,9617.43,281835.18
Baseline,1929.73,7294.05,2659.93,10810.20,276041.70
Baseline,1742.76,4733.74,3897.83,8712.95,268269.53
Baseline,1949.03,3845.50,3064.55,11082.81,278352.87
Baseline,2504.54,3965.13,3287.71,11096.27,282520.75
Baseline,2510.64,7236.91,5636.18,10257.99,280486.79
Baseline,1830.20,9375.89,3136.61,10745.45,283407.95
Baseline,1090.77,5316.22,7311.69,12875.97,281294.00
Baseline,1606.00,6361.59,5706.80,12105.62,277743.06
Baseline,1732.28,5191.60,6094.78,13197.66,275140.03
Baseline,1811.18,3852.17,3980.65,10276.72,273934.43
Baseline,687.25,5163.29,5367.17,7941.25,274381.06
Baseline,2906.36,3542.68,3581.78,8775.26,278130.77
Baseline,2085.42,2921.31,6592.20,11735.71,275686.04
Baseline,1983.49,4231.86,4794.75,11551.68,268267.93
Baseline,2232.86,3596.82,3626.75,14616.08,272809.18
Baseline,1001.23,3736.45,4596.21,9197.64,271794.23
Baseline,1938.27,3985.78,3934.95,11333.99,274744.71
Baseline,1522.55,4710.00,2541.76,5914.00,273157.76
Baseline,1384.88,4611.93,4542.50,8184.27,280238.01
Baseline,2047.04,5932.57,4806.96,7140.63,274335.81
Baseline,2507.26,4495.41,5585.76,17469.16,277839.48
Baseline,1812.24,4474.98,3695.60,10242.02,270388.56
Baseline,1952.92,3266.62,3078.32,12517.76,274706.39
Baseline,1832.29,4014.12,4471.91,7163.26,266656.14
Baseline,1025.53,7598.21,3780.06,7719.05,273139.23
Baseline,1393.29,3131.08,3326.90,6961.11,268651.28
Baseline,583.52,5531.85,3957.82,10909.28,272865.39
Baseline,2510.61,4533.47,3586.85,8383.77,275405.39
Baseline,1167.05,6121.13,3251.66,12600.27,277084.08
Baseline,1486.29,3584.21,3830.29,10905.98,280106.79
Baseline,4157.97,5561.41,3556.85,10813.44,283309.65
Baseline,2692.06,5222.46,3965.67,11730.35,283713.53
Baseline,1700.51,6082.94,3802.25,9072.14,276613.78
Baseline,1106.04,6611.99,5574.66,13406.22,281327.92
Baseline,1808.06,6066.79,5101.51,9901.32,271802.81
Baseline,2539.29,2636.33,2184.18,13149.80,278506.99
Baseline,961.78,2876.30,5003.30,9903.43,277114.34
Baseline,2146.49,6179.98,3127.28,8100.77,277983.70
Baseline,1084.59,7604.65,4287.29,10602.35,280819.13
Baseline,1801.72,3881.70,4544.07,10224.04,276583.81
Baseline,1000.09,5279.64,5218.11,8377.34,282225.50
Baseline,1626.86,3804.34,3115.56,12361.35,280592.05
Baseline,2287.98,3660.86,3981.94,11951.92,282393.73
Baseline,990.21,5871.93,3267.21,11586.91,278575.40
Baseline,1729.67,5493.55,3516.29,10466.42,289017.93
Baseline,1154.20,8272.57,2211.86,9016.71,275672.67
Baseline,1807.81,4619.18,2749.11,14181.31,276141.68
Baseline,3083.00,5495.20,7059.74,10948.88,269843.69
Baseline,1842.46,7017.49,4118.08,8586.82,274061.22
Baseline,2030.81,3536.91,2982.09,8865.52,272920.79
Baseline,1085.63,4810.82,5544.85,11223.03,276833.07
Baseline,4220.46,4489.42,5703.38,8729.57,278642.31
Baseline,2701.74,3709.13,3497.92,10685.51,272591.43
Baseline,1461.66,5919.73,6218.45,12916.73,279650.05
Baseline,1439.61,6521.50,3836.01,8272.62,271532.32
Baseline,3059.81,7267.18,7869.91,9637.62,276415.65
Baseline,1418.91,3829.93,3763.65,10662.75,271407.53
Baseline,2087.67,4884.69,4023.35,13643.55,270436.42
Baseline,1588.96,4568.77,6323.23,12065.23,278312.93
Baseline,4047.61,7099.79,3372.47,12591.70,273667.64
Baseline,3344.44,6452.50,4786.21,12158.51,272182.10
Baseline,2478.40,5399.23,2910.04,9857.64,271633.89
