State,Delta,Theta,Alpha,Beta,Gamma
Baseline,4427.38,8811.91,7233.30,14823.93,138222.16
Baseline,10134.66,7163.47,8815.77,9698.74,143066.39
Baseline,4512.65,6178.10,6856.20,13222.85,151578.93
Baseline,3987.31,7305.64,12946.00,11535.92,142674.20
Baseline,4742.27,10614.30,7571.26,15370.59,141780.35
Baseline,8944.60,4788.07,8266.81,21635.92,141388.19
Baseline,4922.86,6016.01,9023.55,17301.59,138006.71
Baseline,14042.75,8764.45,14570.78,15594.80,143884.50
Baseline,7485.51,8465.66,7575.21,16717.44,146019.21
Baseline,5991.04,9128.79,9232.78,14312.00,143895.26
Baseline,9433.27,6351.11,6190.73,18366.65,148759.99
Baseline,19839.64,10020.90,8198.00,12737.01,142017.73
Baseline,10236.17,10941.31,9320.80,14622.06,159438.12
Baseline,6378.20,6778.67,13479.10,15302.49,153963.52
Baseline,13659.91,13359.37,8581.95,19105.91,147777.60
Baseline,4509.67,3920.52,6675.88,11955.25,153527.47
Baseline,6839.08,12082.08,9094.58,18294.95,151841.07
Baseline,2302.11,10069.71,7237.33,15091.49,151336.72
Baseline,49019.08,37207.11,10131.68,39446.07,228777.01
Baseline,10453.22,12465.74,6023.08,37629.27,217505.29
Baseline,18763.14,33139.29,18313.59,54706.78,299093.22
Baseline,38075.17,28491.78,21629.18,32422.98,161269.80
Baseline,10627.71,7722.46,7955.23,18285.22,159433.46
Baseline,8213.81,6483.94,10445.41,22737.96,170624.85
Baseline,5541.63,9495.51,3584.28,14252.48,137875.66
Baseline,6167.56,5974.53,6331.43,13518.32,153531.04
Baseline,7634.53,6494.86,6453.54,29952.52,192520.48
Baseline,7921.33,6147.43,10152.54,32780.55,222807.69
Baseline,6850.99,4037.36,5052.60,39775.22,204140.41
Baseline,9713.25,6062.01,4547.80,26844.84,176153.84
Baseline,6682.98,3952.35,4123.79,27764.85,172183.21
Baseline,8913.71,6482.39,6654.83,25885.33,191421.11
Baseline,23317.02,15011.50,8795.07,23927.02,151457.48
Baseline,12480.49,19218.35,15904.65,36009.92,187837.50
Baseline,4160.74,2225.37,3444.33,20558.59,164378.64
Baseline,18660.58,14168.55,14307.47,28032.85,178593.93
Baseline,6998.38,5159.38,9128.44,19005.58,150484.16
Baseline,9782.65,9843.10,5289.13,18890.81,143967.15
Baseline,7716.79,8327.77,7060.96,13377.94,135601.05
Baseline,8417.39,7394.90,4125.95,14815.04,136357.95
Baseline,8887.30,6762.62,11353.16,18550.87,143602.10
Baseline,5711.75,9009.21,2332.72,17769.77,142724.10
Baseline,7513.76,10987.29,8469.62,15410.55,146620.79
Baseline,4933.43,7100.02,9874.60,26870.55,138460.05
Baseline,6285.86,8325.12,5303.32,15144.32,153686.87
Baseline,9458.83,10999.20,7109.87,19432.98,156742.78
Baseline,6996.94,12136.58,10382.31,18982.06,186113.56
Baseline,8914.39,15176.46,7734.37,18848.67,188729.27
Baseline,8275.22,7106.50,6959.71,20371.50,211696.01
Baseline,6760.42,9867.15,8564.17,17390.55,202755.65
Baseline,5588.15,8659.34,12487.42,23154.40,136270.65
Baseline,8226.10,11760.59,11029.31,54097.99,226667.60
Baseline,20130.00,8276.14,5125.26,17689.65,120523.11
Baseline,1842.77,7347.99,9079.01,11272.28,121029.17
Baseline,4946.78,3819.05,5707.79,17061.42,129391.73
Baseline,10094.89,6408.54,8987.39,22591.17,122982.45
Baseline,27502.14,37259.54,18044.59,18629.94,128253.89
Baseline,10589.58,8627.82,7465.72,10790.49,112102.42
Baseline,7916.23,4732.81,4145.89,17747.96,117540.12
Baseline,10538.01,14363.76,17042.88,16349.31,161939.00
Baseline,29869.44,33451.33,11077.26,25278.84,170776.36
Baseline,8831.73,5079.24,9714.35,15658.62,153184.97
Baseline,1871.58,4776.22,5917.10,16845.45,216896.77
Baseline,1823.14,7974.33,5588.53,12101.47,200570.63
Baseline,6612.87,5722.65,2484.00,11031.94,203155.62
Baseline,2709.62,2698.14,5471.34,10234.19,196199.11
Baseline,3252.93,5272.27,5092.28,10643.12,201160.70
Baseline,4213.38,6510.90,4697.84,11418.74,198380.89
Baseline,5271.35,3618.00,4868.80,10822.36,192084.88
Baseline,6772.25,5148.49,4958.77,12881.85,199027.36
Baseline,5230.87,3475.22,4489.34,11655.76,197875.31
Baseline,2072.62,3175.37,3906.20,8125.13,201719.10
Baseline,4354.62,5618.90,4893.27,8380.18,197093.77
Baseline,5775.40,10662.79,4914.26,12528.44,196900.94
Baseline,4538.78,4095.37,4875.87,15793.45,210014.22
Baseline,5667.28,6371.94,4588.78,16445.00,206024.46
Baseline,2637.93,4980.25,5699.64,9075.84,197312.29
Baseline,8301.20,8242.25,3657.35,10058.16,196877.83
Baseline,2408.41,5549.64,5831.60,13016.07,199893.88
Baseline,5962.10,6671.19,5375.76,14323.72,200518.26
Baseline,31770.83,19154.90,3424.76,12390.73,215520.48
Baseline,13333.83,19491.71,9990.76,15016.84,203801.51
Baseline,3581.73,4759.90,7709.36,13787.72,198304.99
Baseline,7846.78,15480.58,6467.66,12323.30,205370.78
Baseline,3492.39,7214.21,6139.15,11855.70,201664.65
Baseline,15423.54,7914.37,10134.51,21519.67,208857.23
Baseline,5479.28,5080.40,6041.64,10968.64,206229.05
Baseline,18839.56,16769.86,8372.75,15886.23,170540.89
Baseline,10758.30,10849.38,9819.64,11154.03,165137.50
Baseline,20941.93,9023.12,6413.56,18843.40,136757.32
Baseline,8865.47,11944.72,6088.64,15752.33,101225.99
Baseline,5194.05,6495.96,7099.59,13714.06,108504.40
Baseline,15966.99,9976.04,9123.42,16261.06,113995.22
Baseline,40931.32,40725.69,30380.26,23109.30,124583.66
Baseline,38709.37,107788.17,23918.84,48883.96,152130.09
Baseline,19602.66,32765.47,38016.55,23945.86,139407.39
Baseline,15246.57,14003.14,9538.52,19641.26,140520.28
Baseline,55789.37,61623.56,59515.15,48752.65,122984.83
Baseline,6593.29,8844.48,8835.31,11262.17,149011.66
Baseline,5856.77,6449.21,6313.75,12802.38,139969.89
Baseline,6090.07,6348.38,10170.87,12216.01,136499.05
Baseline,6970.45,18423.52,7217.35,15999.79,138593.17
Baseline,8106.97,16844.62,8327.16,14994.50,135999.63
Baseline,2798.48,13603.53,9712.57,15107.69,132775.10
Baseline,8589.27,12897.62,6692.28,14306.53,137884.71
Baseline,21830.87,5859.72,9485.83,13843.23,129189.86
Baseline,25302.23,23112.02,13275.62,13871.08,131493.51
Baseline,8337.64,5704.94,7069.61,11560.05,131158.25
Baseline,11232.09,4672.95,3992.57,12117.64,113242.12
Baseline,12007.06,6496.74,6823.44,14977.51,115612.68
Baseline,35385.10,11870.76,4069.14,12940.72,110259.25
Baseline,7002.51,8548.18,8340.29,15977.88,134348.60
Baseline,3917.16,8439.57,9632.93,19255.72,157674.07
Baseline,3571.04,7702.15,9407.02,23541.44,141343.27
Baseline,9940.45,18571.86,19809.85,21040.90,142195.73
Baseline,11897.75,8455.93,8391.84,14080.05,118726.17
Baseline,10551.85,25692.02,13998.55,26989.19,130305.02
Baseline,5936.55,8258.22,9545.03,16850.23,132229.71
Baseline,2538.51,4973.21,3655.32,14775.57,129239.63
Baseline,5675.18,7522.24,3739.32,14475.07,126851.36
Baseline,7462.67,7494.28,9774.76,15456.88,125554.98
Baseline,22509.54,22572.64,11948.23,21480.48,116899.68
Baseline,20507.60,22161.45,8974.03,13148.91,110231.09
Baseline,22915.25,20337.93,13926.90,13704.81,136468.27
Baseline,7113.80,11311.47,11381.74,15512.08,143457.93
Baseline,40691.85,32618.57,9227.42,17988.69,118831.94
Baseline,7925.66,7298.99,6091.83,14735.49,146362.14
Baseline,8244.27,11769.78,8268.84,14124.56,137581.78
Baseline,4822.33,6311.64,8173.33,15839.64,117761.76
Baseline,19001.98,13814.95,16582.24,14299.11,108750.87
Baseline,14989.17,8657.61,10163.71,20037.02,109221.45
Baseline,9465.72,7638.69,7061.41,15394.80,125048.28
Baseline,25161.53,18791.58,8666.81,13649.60,134463.12
Baseline,4934.49,9340.15,11099.75,14077.24,142500.96
Baseline,6862.26,8925.96,6159.09,14829.90,132015.31
Baseline,24143.17,6410.44,6673.15,14261.47,134911.81
Baseline,7158.30,8496.74,5831.37,18121.55,134937.60
Baseline,47036.66,45008.12,17566.37,55026.31,296563.57
Baseline,16198.40,28145.07,26333.74,36562.90,50725.11
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,16260.69,19726.76,14079.74,15258.58,119920.56
Baseline,10402.86,12943.02,9684.97,20647.00,115884.10
Baseline,12943.97,10136.13,6655.98,14455.01,105241.40
Baseline,10674.98,10885.15,7163.95,14289.88,103625.96
Baseline,10944.06,12556.56,12024.55,17527.82,109976.78
Baseline,13533.56,8421.50,6532.36,14459.22,111029.40
Baseline,8174.69,9107.93,8700.23,16356.60,98477.61
Baseline,52636.87,37037.04,23840.68,29743.97,140099.37
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,24500.74,21036.34,9572.65,10984.21,112182.37
Baseline,29983.86,19660.94,16091.52,24871.37,100191.63
Baseline,7674.00,8777.27,5392.40,13949.50,93916.92
Baseline,16709.23,20410.30,6389.14,17482.14,89741.62
Baseline,6425.60,8923.88,5652.70,10791.02,85122.96
Baseline,6867.03,6892.01,5316.25,13480.36,93889.45
Baseline,10140.15,4409.69,9294.22,14224.66,89770.72
Baseline,8039.31,14780.34,12440.47,13245.46,105678.54
Baseline,1628.54,1493.92,1124.77,3778.36,21399.31
Baseline,75917.88,20215.31,10020.76,17150.06,118789.07
Baseline,59830.86,29507.39,15782.05,13587.17,154268.01
Baseline,23276.06,16936.71,18296.26,22871.01,130936.37
Baseline,25792.92,12934.62,9216.48,17251.59,86725.50
Baseline,20431.95,13305.47,10180.34,12834.71,84632.98
Baseline,25397.52,29737.72,21276.82,39572.87,144635.94
Baseline,11476.82,4215.12,6514.52,9306.12,90006.58
Baseline,5922.88,5563.03,7422.15,14032.93,94560.33
Baseline,9750.35,7661.76,7953.14,14179.74,94977.23
Baseline,6151.95,12052.03,7286.32,15013.84,102278.20
Baseline,9654.81,2390.23,7141.34,12577.73,109283.27
Baseline,5034.24,6447.15,9431.95,12683.40,91907.19
Baseline,21708.68,35168.34,24969.96,39890.79,108029.86
Baseline,12200.67,6389.01,6369.49,14022.79,94597.24
Baseline,4125.20,3860.65,7286.06,16881.60,114932.72
Baseline,4363.77,8071.04,4492.00,29695.53,136493.37
Baseline,6311.02,5995.85,4129.02,18061.69,95738.18
Baseline,8959.65,4683.88,5148.60,16774.69,92791.42
Baseline,5779.04,3452.91,4097.52,12413.62,104918.47
Baseline,12542.23,4899.34,4764.41,13268.10,106339.66
Baseline,5641.64,7050.03,5149.74,13245.02,97420.75
Baseline,5529.77,4247.36,7499.36,12737.66,91485.98
Baseline,8276.59,5566.73,8415.86,16837.44,90957.26
Baseline,6145.58,6280.04,8266.08,11804.04,88183.47
Baseline,6741.09,7514.33,7396.86,12678.97,88399.46
Baseline,7573.46,6096.93,4789.19,17423.67,93053.12
Baseline,6369.07,8416.55,5925.28,15489.33,91048.70
Baseline,3464.88,3743.22,6775.72,14704.54,90913.98
Baseline,6478.60,12689.14,6520.53,11909.48,98220.57
Baseline,3484.08,5425.06,3210.25,23491.74,107896.95
Baseline,9707.68,8149.04,9873.32,23002.74,156020.08
Baseline,3892.94,5617.78,5593.45,21332.54,98318.10
Baseline,6188.78,3969.48,3258.63,14417.92,87970.79
Baseline,7707.44,9568.19,5496.31,11823.94,98029.39
Baseline,3480.75,4749.17,6821.64,10279.10,89792.35
