State,Delta,Theta,Alpha,Beta,Gamma
Baseline,18974.13,28968.29,8139.79,33297.81,177385.26
Baseline,3067.54,11939.78,12280.35,29958.34,171518.78
Baseline,11210.56,8457.01,10416.19,55070.73,201272.80
Baseline,7962.16,4439.75,11309.89,29875.28,137624.51
Baseline,9187.54,7453.53,9292.24,24640.91,153648.15
Baseline,3425.92,5404.65,10243.20,43872.99,179076.68
Baseline,29627.32,25316.82,7524.83,45805.45,170747.87
Baseline,11337.54,17393.33,19326.64,37865.51,176561.70
Baseline,4915.01,11265.37,8680.43,43526.30,186965.16
Baseline,4263.91,6267.19,4599.02,33645.80,180110.27
Baseline,2692.28,7189.98,5290.00,25432.70,169467.67
Baseline,6244.96,9312.83,8550.91,51402.28,170987.09
Baseline,1884.59,4603.21,5154.54,27829.73,149698.85
Baseline,4893.90,6627.88,8670.49,44724.92,143647.38
Baseline,7132.62,11109.63,9396.37,34158.96,169577.58
Baseline,2699.46,4938.06,5236.27,42530.13,168086.49
Baseline,114461.97,35027.10,10768.93,37781.23,173929.13
Baseline,23310.76,12409.50,11845.38,34282.67,184113.07
Baseline,5028.64,7081.85,4886.26,8411.02,66383.27
Baseline,15869.88,19705.83,14045.79,43734.71,177349.44
Baseline,132097.72,81610.87,18424.03,18232.60,108609.20
Baseline,29722.34,40119.38,24245.11,22874.14,140982.57
Baseline,18085.98,28147.17,16666.00,22386.52,124690.78
Baseline,28755.25,14465.04,7242.42,21486.72,117041.87
Baseline,9020.11,12815.96,8231.84,37391.30,138230.51
Baseline,6819.15,5702.52,10214.66,27728.92,124951.42
Baseline,4730.00,6878.80,7390.00,20739.04,146710.77
Baseline,1147.92,5583.60,5364.65,28066.85,132694.67
Baseline,61197.24,57742.99,39640.85,94680.32,217496.49
Baseline,6244.44,7210.22,7961.17,48239.07,171207.33
Baseline,15513.84,19356.87,7211.08,18660.86,126178.51
Baseline,5656.41,10554.28,5376.83,24360.69,120687.68
Baseline,63365.18,11233.03,7817.48,22727.96,112682.21
Baseline,17767.97,8044.75,7497.76,36030.19,165693.83
Baseline,78366.65,30999.40,11316.48,23424.83,112004.78
Baseline,55806.37,39528.61,13533.71,31145.69,153079.56
Baseline,52709.98,26011.37,7947.73,25853.16,164643.97
Baseline,19696.22,16719.33,3674.77,25779.66,112119.32
Baseline,16426.59,7199.17,7003.67,23102.03,136617.86
Baseline,10465.42,11867.49,9482.52,24222.28,115254.96
Baseline,55679.56,45415.52,20298.18,50715.78,167103.64
Baseline,106753.20,20940.86,7587.53,31303.36,152131.63
Baseline,16697.56,13875.25,10586.89,27899.34,160778.61
Baseline,20164.42,17319.70,16743.52,26467.52,150291.25
Baseline,24523.61,12037.31,16891.73,36744.05,140163.09
Baseline,36670.32,29311.73,13968.50,20322.26,117294.92
Baseline,21156.25,42564.58,17408.16,37072.48,196325.56
Baseline,34891.22,28958.80,15450.61,103772.42,339947.99
Baseline,36673.61,15873.34,8486.54,28715.49,157705.01
Baseline,73507.12,26107.51,13249.82,31060.87,190352.56
Baseline,6394.18,9915.49,13491.01,22231.98,81959.23
Baseline,40350.65,24895.22,17323.24,35592.09,215972.40
Baseline,22072.58,25501.99,16348.20,35908.99,151835.75
Baseline,16812.46,25415.25,11956.49,27811.31,134656.20
Baseline,9169.91,15026.77,7301.50,19943.02,169401.84
Baseline,11734.15,10072.42,10382.70,23524.72,140548.79
Baseline,17744.00,23547.76,14746.88,25056.32,136253.82
Baseline,7929.34,10444.70,5304.96,27570.23,95858.14
