State,Delta,Theta,Alpha,Beta,Gamma
Live,14541.87,20519.04,33204.41,88972.47,773442.35
Live,11732.87,25588.92,19971.87,48371.20,682707.24
Live,23643.99,25288.97,28711.46,85326.22,762754.33
Live,10074.31,33052.53,31792.13,69300.67,750058.51
Live,23000.91,42842.24,13411.40,68456.13,668036.67
Live,21538.99,42637.81,16958.80,83722.55,681832.23
Live,17987.83,33459.04,16367.76,91198.80,711991.51
Live,10577.41,26580.13,25969.75,70623.95,763581.18
Live,7191.52,17490.33,20175.54,89049.13,789997.19
Live,34439.19,45780.11,21929.24,42217.91,620587.83
Live,30861.88,46017.47,20548.11,44814.12,547003.75
Live,36278.13,38783.49,24295.74,54332.71,604113.01
Live,71188.63,45675.47,17600.81,19700.25,492604.66
Live,29651.85,39721.62,23460.02,66848.99,664127.72
Live,25250.59,38732.32,14137.80,18961.58,525722.41
Live,27927.77,35309.57,17077.15,54578.65,570361.60
Live,24531.48,41254.18,17412.15,18043.67,555295.64
Live,35034.06,44830.13,34356.36,72147.09,734459.40
Live,16534.44,37910.03,22309.56,16894.34,551193.92
Live,21989.17,35853.81,23932.18,30061.38,589048.54
Live,26758.99,33530.71,10815.99,17863.92,612778.07
Live,30879.70,47824.41,23791.53,61837.72,651367.57
Live,9543.61,7836.41,5597.32,29659.27,387701.22
Live,29099.95,16485.79,14896.50,64805.74,407652.24
Live,6254.80,11330.77,9385.82,26541.02,356466.55
Live,11694.53,8814.57,3314.71,27487.18,366680.34
Live,3782.26,10012.09,4392.51,65347.17,356017.42
Live,9898.88,15857.62,9645.31,52730.88,380535.35
Live,17028.19,15915.20,4130.35,23751.89,343539.29
Live,9647.16,13259.27,8048.12,10920.05,320346.99
Live,11014.43,16230.33,6873.75,12760.84,304499.39
Live,9877.74,16231.38,5747.33,10659.33,309316.45
Live,11829.11,24407.74,3672.93,11740.83,310101.54
Live,14298.06,11769.82,8697.04,18275.04,312054.54
Live,6373.72,14959.55,3063.10,7554.64,286159.58
Live,6865.49,12368.93,6443.82,10140.92,279441.21
Live,7657.46,15028.85,4916.35,8541.77,284336.51
Live,6486.82,12464.71,5623.46,8732.47,285150.10
Live,7333.00,13289.23,9202.65,10779.08,286556.45
Live,5385.23,12896.62,8347.74,10240.18,287233.81
Live,10416.99,14603.58,8441.68,58253.35,333004.77
Live,7314.98,15177.57,3285.52,12560.49,266958.49
Live,10172.03,14488.88,9393.36,44255.37,359327.49
Live,7248.88,8184.19,11503.63,16789.04,276755.15
Live,23857.95,21053.58,17893.35,34520.26,330504.17
Live,6320.14,17022.23,5564.31,13223.27,279621.87
Live,11442.34,17559.51,7978.24,18735.82,294186.28
Live,8417.74,9189.74,8139.54,12937.44,290444.05
Live,6917.43,13362.78,7694.96,16571.28,308732.50
Live,8479.30,13159.94,3586.26,17547.91,301608.45
Live,13532.23,21359.45,10891.34,37406.16,372879.78
